"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9","should handle array length larger than maxItemsPerString","splitArrayIntoStrings","Thu May 15 12:57:30 UTC 2025","passed","Thu May 15 12:57:30 UTC 2025","","","",""
"","1","should return an offer is duo predicate formatted for Algolia API when offerIsDuo param is true","buildOfferIsDuoPredicate","Thu May 15 12:55:49 UTC 2025","passed","Thu May 15 12:55:49 UTC 2025","","","",""
"","8","should fetch offers with geolocation coordinates, when latitude, longitude are provided and search is everywhere without radius","fetchOffer","Thu May 15 12:55:39 UTC 2025","passed","Thu May 15 12:55:39 UTC 2025","","geolocation","",""
"","145","should redirect to Google Maps itinerary when pressing ""Voir l’itinéraire"" button","<OfferVenueBlock />","Thu May 15 12:55:56 UTC 2025","passed","Thu May 15 12:55:56 UTC 2025","","","",""
"","762","should render gtl playlists when algolia returns offers","BookPlaylists","Thu May 15 12:56:25 UTC 2025","passed","Thu May 15 12:56:26 UTC 2025","","","",""
"","3","should consider subscribe button active","useThematicSubscription","Thu May 15 12:55:40 UTC 2025","passed","Thu May 15 12:55:40 UTC 2025","when the user is already subscribed to the page","when the user has notifications on","",""
"","366","should navigate to email selection step on password creation success","<ChangeEmailSetPassword />","Thu May 15 12:55:59 UTC 2025","passed","Thu May 15 12:55:59 UTC 2025","","","",""
"","127","should not display limit credit search toggle","<PriceModal/>","Thu May 15 12:55:49 UTC 2025","passed","Thu May 15 12:55:49 UTC 2025","","when user is not a beneficiary","",""
"","238","should refetch user infos if on lastQuestion and API call is successful","CulturalSurveyQuestions page","Thu May 15 12:56:05 UTC 2025","passed","Thu May 15 12:56:05 UTC 2025","","","",""
"","19","<ClipPath />","no-hardcoded-id-in-svg","Thu May 15 12:58:24 UTC 2025","passed","Thu May 15 12:58:24 UTC 2025","","valid","",""
"","35","should invalidate reminders query after successful mutation","useAddReminderMutation","Thu May 15 12:56:42 UTC 2025","passed","Thu May 15 12:56:42 UTC 2025","","","",""
"","2","useSubcategory(ESCAPE_GAME) = { isEvent: false, categoryId: JEU, searchGroupName: JEUX_JEUX_VIDEOS }","useSubcategory","Thu May 15 12:55:49 UTC 2025","passed","Thu May 15 12:55:49 UTC 2025","","","",""
"","69","displays only one selected at a time","AccessibleTabBar","Thu May 15 12:55:42 UTC 2025","passed","Thu May 15 12:55:42 UTC 2025","","","",""
"","35","should not capture error exception when error is ApiError and error code is 401","AsyncErrorBoundary component","Thu May 15 12:56:02 UTC 2025","passed","Thu May 15 12:56:02 UTC 2025","","","",""
"","278","should render correctly","<SetStatus/>","Thu May 15 12:55:51 UTC 2025","passed","Thu May 15 12:55:52 UTC 2025","","","",""
"","1","should return NOT_BOOKABLE if no stock","getStatusFromStocks()","Thu May 15 12:56:53 UTC 2025","passed","Thu May 15 12:56:53 UTC 2025","","","",""
"","8","<StyledTruc>toto</StyledTruc>","no-raw-text","Thu May 15 12:57:01 UTC 2025","passed","Thu May 15 12:57:01 UTC 2025","","invalid","",""
"","393","should log ConsultOffer when pressing an item","GtlPlaylist","Thu May 15 12:56:22 UTC 2025","passed","Thu May 15 12:56:22 UTC 2025","","on ThematicSearch page","",""
"","219","should share app on banner press","Profile component","Thu May 15 12:55:56 UTC 2025","passed","Thu May 15 12:55:56 UTC 2025","","share app section","",""
"","89","should go to A11y page when the ""Accessibilité : partiellement conforme"" link is pressed","AccessibilityFooter","Thu May 15 12:56:30 UTC 2025","passed","Thu May 15 12:56:30 UTC 2025","","","",""
"","147","should call onChange when pressing Spacebar on focused switch","<ControlledFilterSwitch />","Thu May 15 12:57:56 UTC 2025","passed","Thu May 15 12:57:57 UTC 2025","","","",""
"","46","should only call callback function once","useFunctionOnce()","Thu May 15 12:58:30 UTC 2025","passed","Thu May 15 12:58:30 UTC 2025","","","",""
"","238","should navigate to Home if on lastQuestion and API call is successful and FF ENABLE_CULTURAL_SURVEY_MANDATORY is disabled","CulturalSurveyQuestions page","Thu May 15 12:56:05 UTC 2025","passed","Thu May 15 12:56:06 UTC 2025","","","",""
"","132","should fully display the title at the end of the animation","<ChroniclesHeader />","Thu May 15 12:56:56 UTC 2025","passed","Thu May 15 12:56:57 UTC 2025","","","",""
"","3","should return false when user has never seen cultural survey but is not beneficiary","useShouldShowCulturalSurveyForBeneficiaryUser()","Thu May 15 12:56:29 UTC 2025","passed","Thu May 15 12:56:29 UTC 2025","","","",""
"","10","await client.multipleQueries(queries)","no-use-of-algolia-multiple-queries","Thu May 15 12:58:13 UTC 2025","passed","Thu May 15 12:58:13 UTC 2025","","invalid","",""
"","161","should redirect to Login if submit is success","ValidateEmailChange","Thu May 15 12:55:57 UTC 2025","passed","Thu May 15 12:55:57 UTC 2025","","","",""
"","195","should trigger StepperDisplayed tracker with SSO_login type when displaying step for sso subscription and coming from login","Signup Form","Thu May 15 12:56:09 UTC 2025","passed","Thu May 15 12:56:09 UTC 2025","analytics","SSO","",""
"","7","should be bookable if it respects all the domains remaining credit - after generalisation","hasEnoughCredit","Thu May 15 12:56:23 UTC 2025","passed","Thu May 15 12:56:23 UTC 2025","","","",""
"","128","should open mail app when clicking on check email button","<SignupConfirmationEmailSent />","Thu May 15 12:56:40 UTC 2025","passed","Thu May 15 12:56:40 UTC 2025","","","",""
"","350","should change on ""Terminées"" tab and have one ended booking","Bookings","Thu May 15 12:56:19 UTC 2025","passed","Thu May 15 12:56:20 UTC 2025","","","",""
"","117","should redirect to Search tab when pressing the button","NoContentError","Thu May 15 12:57:17 UTC 2025","passed","Thu May 15 12:57:17 UTC 2025","","","",""
"","5","should fetch with date filter when date and today option are provided","fetchOffer","Thu May 15 12:55:40 UTC 2025","passed","Thu May 15 12:55:40 UTC 2025","by date only","date","",""
"","42","should go to Bookings when click on CTA","<BookingConfirmation />","Thu May 15 12:56:16 UTC 2025","passed","Thu May 15 12:56:16 UTC 2025","","buttons","",""
"","20","should not display artist playlist when there is not some offer from this artist","ArtistPlaylist","Thu May 15 12:57:28 UTC 2025","passed","Thu May 15 12:57:28 UTC 2025","","","",""
"","1","should not return message if isEvent and no_ticket withdrawal type","getOfferRules","Thu May 15 12:56:31 UTC 2025","passed","Thu May 15 12:56:31 UTC 2025","","","",""
"","","should send logConsultVideo when video starts autoplay","<VideoCarouselModule />","Thu May 15 12:55:53 UTC 2025","skipped","","","tracking","",""
"","7","getDisplayedPrice(undefined) 	= without format price options","getDisplayedPrice","Thu May 15 12:56:50 UTC 2025","passed","Thu May 15 12:56:50 UTC 2025","","","",""
"","165","should log consult venue when URL from param equal to venueMap","<Venue />","Thu May 15 12:56:16 UTC 2025","passed","Thu May 15 12:56:16 UTC 2025","","analytics","",""
"","10","should not render anything when offer is not found","HighlightOfferModule","Thu May 15 12:56:33 UTC 2025","passed","Thu May 15 12:56:33 UTC 2025","","","",""
"","6","for android","getShareVenue","Thu May 15 12:57:34 UTC 2025","passed","Thu May 15 12:57:34 UTC 2025","","should display share modal with data from offer","",""
"","36","should show prev button if currentStep !== 1","<TicketSwiperControls/>","Thu May 15 12:57:30 UTC 2025","passed","Thu May 15 12:57:30 UTC 2025","","","",""
"","73","should not display opening hours section","PracticalInformation","Thu May 15 12:56:16 UTC 2025","passed","Thu May 15 12:56:16 UTC 2025","","","",""
"","531","should display mobile header modal if mobile viewport","<PriceModal/>","Thu May 15 12:56:33 UTC 2025","passed","Thu May 15 12:56:33 UTC 2025","","","",""
"","122","should go back when clicking on go back button","DeleteProfileConfirmation","Thu May 15 12:56:34 UTC 2025","passed","Thu May 15 12:56:34 UTC 2025","","","",""
"","90","should render NextScreeningButton when nextDate is provided","CineBlock","Thu May 15 12:56:17 UTC 2025","passed","Thu May 15 12:56:17 UTC 2025","","","",""
"","1","should return true when offer is valid","filterValidOfferHit","Thu May 15 12:57:39 UTC 2025","passed","Thu May 15 12:57:39 UTC 2025","","","",""
"","640","should not have basic accessibility issues","<PageNotFound/>","Thu May 15 12:58:20 UTC 2025","passed","Thu May 15 12:58:21 UTC 2025","","Accessibility","",""
"","236","should render films playlists when offerCategory is `FILMS_DOCUMENTAIRES_SERIES`","<ThematicSearch/>","Thu May 15 12:56:00 UTC 2025","passed","Thu May 15 12:56:00 UTC 2025","","films playlists","",""
"","7","should return venue types for FILMS_DOCUMENTAIRES_SERIES search group","getVenueTypesFromSearchGroup","Thu May 15 12:57:24 UTC 2025","passed","Thu May 15 12:57:24 UTC 2025","","","",""
"","6","for android","getShareOffer","Thu May 15 12:56:30 UTC 2025","passed","Thu May 15 12:56:30 UTC 2025","","should display share modal with data from offer","",""
